Category,Question#,Title,Detail_lesson,School,CustomInstruction
Marketing,1,"First, Give our team a Name",Lets come up with a really good name for our team,School of Marketing,Think creatively but also functionally about naming.
Mission,2,"Second, Lets identify our customer",Who is our customer. Describe them,School of Purpose,What innovative approach would you implement in your current project?
Strategy,3,"Third, What is their pain point",What challenges confront our customer,School of Strategy,Think about our direct or indirect customer. Who are we helping?
Strategy,4,"Forth, How can we help",Think about what we can do for this customer to address the decided challenge,School of Strategy,How can we help in meaningful ways?think and discuss specifics. 
